Name,Secondary,FileSpec,
weap_golf21_fire_last_plr,weap_golf21_fire_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_ads_06.LN.85.44100.all,
weap_golf21_fire_last_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_01.HN.85.48000.all,
weap_golf21_fire_last_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_02.HN.85.48000.all,
weap_golf21_fire_last_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_03.HN.85.48000.all,
weap_golf21_fire_last_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_ads_01.HN.85.48000.all,
weap_golf21_fire_last_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_ads_02.HN.85.48000.all,
weap_golf21_fire_last_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_ads_03.HN.85.48000.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_01.LN.85.44100.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_02.LN.85.44100.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_03.LN.85.44100.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_04.LN.85.44100.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_05.LN.85.44100.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_06.LN.85.44100.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_ads_01.LN.85.44100.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_ads_02.LN.85.44100.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_ads_03.LN.85.44100.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_ads_04.LN.85.44100.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_ads_05.LN.85.44100.all,
weap_golf21_fire_plr,weap_golf21_fire_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_ads_06.LN.85.44100.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_01.LN.85.48000.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_02.LN.85.48000.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_03.LN.85.48000.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_04.LN.85.48000.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_05.LN.85.48000.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_06.LN.85.48000.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_01.LN.85.48000.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_02.LN.85.48000.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_03.LN.85.48000.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_04.LN.85.48000.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_05.LN.85.48000.all,
weap_golf21_fire_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_06.LN.85.48000.all,
weap_golf21_fire_plr_lfe,,weapons\iw8_golf21\weap_golf21_fire_plr_lfe.HN.100.48000.all,
weap_golf21_fire_plr_lfe,,weapons\iw8_golf21\weap_golf21_fire_plr_lfe.HN.100.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_01.HN.85.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_02.HN.85.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_03.HN.85.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_04.HN.85.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_05.HN.85.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_06.HN.85.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_ads_01.HN.85.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_ads_02.HN.85.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_ads_03.HN.85.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_ads_04.HN.85.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_ads_05.HN.85.48000.all,
weap_golf21_fire_plr_mech,weap_golf21_fire_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_ads_06.HN.85.48000.all,
weap_golf21_fire1_bang_plr,weap_golf21_fire1_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_01.HN.85.48000.all,
weap_golf21_fire1_bang_plr,weap_golf21_fire1_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_02.HN.85.48000.all,
weap_golf21_fire1_bang_plr,weap_golf21_fire1_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_03.HN.85.48000.all,
weap_golf21_fire1_bang_plr,weap_golf21_fire1_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_04.HN.85.48000.all,
weap_golf21_fire1_bang_plr,weap_golf21_fire1_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_05.HN.85.48000.all,
weap_golf21_fire1_bang_plr,weap_golf21_fire1_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_06.HN.85.48000.all,
weap_golf21_fire1_last_bang_plr,weap_golf21_fire1_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_01.HN.85.48000.all,
weap_golf21_fire1_last_bang_plr,weap_golf21_fire1_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_01.HN.85.48000.all,
weap_golf21_fire1_last_bang_plr,weap_golf21_fire1_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_02.HN.85.48000.all,
weap_golf21_fire1_last_bang_plr,weap_golf21_fire1_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_02.HN.85.48000.all,
weap_golf21_fire1_last_bang_plr,weap_golf21_fire1_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_03.HN.85.48000.all,
weap_golf21_fire1_last_bang_plr,weap_golf21_fire1_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_03.HN.85.48000.all,
weap_golf21_fire1_last_plr,weap_golf21_fire1_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_01.LN.85.44100.all,
weap_golf21_fire1_last_plr,weap_golf21_fire1_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_02.LN.85.44100.all,
weap_golf21_fire1_last_plr,weap_golf21_fire1_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_03.LN.85.44100.all,
weap_golf21_fire1_last_plr,weap_golf21_fire1_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_04.LN.85.44100.all,
weap_golf21_fire1_last_plr,weap_golf21_fire1_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_05.LN.85.44100.all,
weap_golf21_fire1_last_plr,weap_golf21_fire1_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_06.LN.85.44100.all,
weap_golf21_fire1_last_plr_mech,weap_golf21_fire1_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_01.HN.85.48000.all,
weap_golf21_fire1_last_plr_mech,weap_golf21_fire1_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_02.HN.85.48000.all,
weap_golf21_fire1_last_plr_mech,weap_golf21_fire1_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_03.HN.85.48000.all,
weap_golf21_fire1_plr,weap_golf21_fire1_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_01.LN.85.44100.all,
weap_golf21_fire1_plr,weap_golf21_fire1_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_02.LN.85.44100.all,
weap_golf21_fire1_plr,weap_golf21_fire1_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_03.LN.85.44100.all,
weap_golf21_fire1_plr,weap_golf21_fire1_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_04.LN.85.44100.all,
weap_golf21_fire1_plr,weap_golf21_fire1_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_05.LN.85.44100.all,
weap_golf21_fire1_plr,weap_golf21_fire1_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_06.LN.85.44100.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_01.LN.85.48000.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_02.LN.85.48000.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_03.LN.85.48000.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_04.LN.85.48000.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_05.LN.85.48000.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_06.LN.85.48000.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_01.LN.85.48000.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_02.LN.85.48000.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_03.LN.85.48000.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_04.LN.85.48000.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_05.LN.85.48000.all,
weap_golf21_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_06.LN.85.48000.all,
weap_golf21_fire1_plr_lfe,,weapons\iw8_golf21\weap_golf21_fire_plr_lfe.HN.100.48000.all,
weap_golf21_fire1_plr_mech,weap_golf21_fire1_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_01.HN.85.48000.all,
weap_golf21_fire1_plr_mech,weap_golf21_fire1_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_02.HN.85.48000.all,
weap_golf21_fire1_plr_mech,weap_golf21_fire1_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_03.HN.85.48000.all,
weap_golf21_fire1_plr_mech,weap_golf21_fire1_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_04.HN.85.48000.all,
weap_golf21_fire1_plr_mech,weap_golf21_fire1_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_05.HN.85.48000.all,
weap_golf21_fire1_plr_mech,weap_golf21_fire1_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_plr_mech_06.HN.85.48000.all,
weap_golf21_fire2_bang_plr,weap_golf21_fire2_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_01.HN.85.48000.all,
weap_golf21_fire2_bang_plr,weap_golf21_fire2_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_02.HN.85.48000.all,
weap_golf21_fire2_bang_plr,weap_golf21_fire2_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_03.HN.85.48000.all,
weap_golf21_fire2_bang_plr,weap_golf21_fire2_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_04.HN.85.48000.all,
weap_golf21_fire2_bang_plr,weap_golf21_fire2_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_05.HN.85.48000.all,
weap_golf21_fire2_bang_plr,weap_golf21_fire2_plr_mech,weapons\iw8_golf21\weap_golf21_fire_plr_06.HN.85.48000.all,
weap_golf21_fire2_last_bang_plr,weap_golf21_fire2_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_01.HN.85.48000.all,
weap_golf21_fire2_last_bang_plr,weap_golf21_fire2_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_01.HN.85.48000.all,
weap_golf21_fire2_last_bang_plr,weap_golf21_fire2_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_02.HN.85.48000.all,
weap_golf21_fire2_last_bang_plr,weap_golf21_fire2_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_02.HN.85.48000.all,
weap_golf21_fire2_last_bang_plr,weap_golf21_fire2_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_03.HN.85.48000.all,
weap_golf21_fire2_last_bang_plr,weap_golf21_fire2_last_plr_mech,weapons\iw8_golf21\weap_golf21_fire_last_bang_plr_03.HN.85.48000.all,
weap_golf21_fire2_last_plr,weap_golf21_fire2_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_01.LN.85.44100.all,
weap_golf21_fire2_last_plr,weap_golf21_fire2_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_02.LN.85.44100.all,
weap_golf21_fire2_last_plr,weap_golf21_fire2_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_03.LN.85.44100.all,
weap_golf21_fire2_last_plr,weap_golf21_fire2_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_04.LN.85.44100.all,
weap_golf21_fire2_last_plr,weap_golf21_fire2_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_05.LN.85.44100.all,
weap_golf21_fire2_last_plr,weap_golf21_fire2_last_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_06.LN.85.44100.all,
weap_golf21_fire2_last_plr_mech,weap_golf21_fire2_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_01.HN.85.48000.all,
weap_golf21_fire2_last_plr_mech,weap_golf21_fire2_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_02.HN.85.48000.all,
weap_golf21_fire2_last_plr_mech,weap_golf21_fire2_plr_lfe,weapons\iw8_golf21\weap_golf21_fire_last_plr_mech_03.HN.85.48000.all,
weap_golf21_fire2_plr,weap_golf21_fire2_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_01.LN.85.44100.all,
weap_golf21_fire2_plr,weap_golf21_fire2_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_02.LN.85.44100.all,
weap_golf21_fire2_plr,weap_golf21_fire2_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_03.LN.85.44100.all,
weap_golf21_fire2_plr,weap_golf21_fire2_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_04.LN.85.44100.all,
weap_golf21_fire2_plr,weap_golf21_fire2_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_05.LN.85.44100.all,
weap_golf21_fire2_plr,weap_golf21_fire2_bang_plr,weapons\iw8_golf21\weap_golf21_fire_first_plr_06.LN.85.44100.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_01.LN.85.48000.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_02.LN.85.48000.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_03.LN.85.48000.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_04.LN.85.48000.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_05.LN.85.48000.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\exterior\pistol\weap_pistol_fire_plr_atmo_ext1_06.LN.85.48000.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_01.LN.85.48000.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_02.LN.85.48000.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_03.LN.85.48000.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_04.LN.85.48000.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_05.LN.85.48000.all,
weap_golf21_fire2_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_06.LN.85.48000.all,
weap_golf21_fire2_plr_lfe,,weapons\iw8_golf21\weap_golf21_fire_plr_lfe.HN.100.48000.all,
